Age,C1,C2.5,C5,C10,C25,C50,C75,C90,C95,C97.5,C99
Neonate,6,10,13,18,26,35,45,56,64,72,84
1 month,7,11,15,19,26,33,41,50,57,65,77
2 months,6,11,14,19,25,32,39,48,55,64,78
3 months,8,12,16,19,25,32,39,47,55,64,80
4 months,9,13,16,20,25,31,38,46,53,63,80
5 months,10,14,17,20,25,30,36,44,52,61,78
6 months,11,14,17,20,25,29,35,43,50,59,76
7 months,11,15,17,20,24,29,34,41,48,57,75
8 months,12,15,17,20,24,28,34,41,47,56,74
9 months,12,15,17,20,24,28,33,40,46,55,73
10 months,12,15,17,20,24,28,33,39,46,55,72
11 months,12,15,17,20,23,27,32,39,45,54,71
1 year,12,15,17,19,23,26,31,37,43,50,65
2 years,11,14,16,18,21,24,28,33,38,44,56
3 years,11,13,15,17,20,23,26,31,35,40,51
4 years,11,13,15,17,19,22,25,29,33,38,48
5 years,11,13,14,16,18,21,24,28,32,36,45
6 years,11,13,14,16,18,20,23,27,30,34,43
7 years,10,12,14,15,17,20,22,26,29,33,41
8 years,10,12,14,15,17,19,22,25,28,32,40
9 years,10,12,13,15,17,19,21,25,28,31,39
10 years,10,12,13,15,17,19,21,24,27,31,38
11 years,10,12,13,14,16,18,20,23,26,30,37
12 years,10,12,13,14,16,18,20,23,25,29,36
13 years,10,11,13,14,16,17,19,22,25,28,35
14 years,10,11,13,14,15,17,19,22,24,27,35
15 years,9,11,13,14,15,17,19,21,24,27,34
16 years,9,11,13,14,15,17,19,21,24,27,34
17 years,9,11,13,14,15,17,19,21,24,27,34
